Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,71.620003,71.620003,69.769997,69.870003,68.895439,7972685
2020-10-14,69.900002,71.000000,69.750000,70.389999,69.408173,6148735
2020-10-15,70.000000,70.000000,68.900002,69.169998,68.205193,8298766
2020-10-16,69.720001,69.949997,68.639999,69.510002,68.540459,8907764
2020-10-19,69.599998,70.300003,69.400002,69.709999,68.737663,9519317
2020-10-20,69.699997,70.300003,69.309998,69.580002,68.609474,6743700
2020-10-21,69.580002,70.089996,68.220001,68.290001,67.337471,9010158
2020-10-22,68.150002,68.230003,67.099998,68.129997,67.179695,10388504
2020-10-23,70.550003,71.919998,70.129997,70.550003,69.565948,17503538
2020-10-26,70.370003,71.089996,69.139999,69.500000,68.530586,10282763
2020-10-27,69.989998,70.070000,68.010002,68.099998,67.150116,8315810
2020-10-28,67.199997,67.300003,65.650002,65.910004,64.990662,11604790
2020-10-29,65.849998,66.519997,64.900002,65.820000,64.901917,8772159
2020-10-30,65.599998,66.680000,65.309998,66.680000,65.749931,4991221
2020-11-02,67.290001,69.010002,66.730003,69.010002,68.047432,8745851
2020-11-03,69.879997,71.589996,69.430000,71.589996,70.591438,9887567
2020-11-04,70.120003,72.470001,69.410004,71.669998,70.670319,11208361
2020-11-05,72.000000,72.379997,71.139999,71.480003,70.482979,9278373
2020-11-06,71.400002,72.089996,70.220001,71.129997,70.137848,8112970
2020-11-09,72.000000,76.059998,71.519997,76.059998,74.999092,17686375
2020-11-10,76.059998,77.540001,75.779999,77.330002,76.251381,15096327
2020-11-11,73.599998,73.959999,72.639999,73.370003,72.346611,32582266
2020-11-12,72.820000,73.010002,69.940002,71.540001,70.542145,20588221
2020-11-13,71.260002,72.410004,70.529999,72.309998,71.301392,15698043
2020-11-16,72.440002,73.120003,72.040001,72.540001,71.528183,13507762
2020-11-17,72.500000,73.669998,72.150002,73.629997,72.602982,13082000
2020-11-18,73.500000,74.330002,73.120003,73.989998,72.957962,9916037
2020-11-19,73.449997,73.970001,73.070000,73.709999,72.681862,8193501
2020-11-20,73.629997,74.279999,73.449997,73.629997,72.602982,7276746
2020-11-23,73.989998,74.370003,73.209999,73.599998,72.573402,7321000
2020-11-24,73.699997,74.989998,73.690002,74.989998,73.944008,10919807
2020-11-25,75.750000,75.930000,74.129997,74.989998,73.944008,9453685
2020-11-26,74.989998,74.989998,74.209999,74.239998,73.204475,5320533
2020-11-27,74.000000,74.750000,74.000000,74.529999,73.490425,5457538
2020-11-30,74.209999,74.300003,73.110001,73.269997,72.248001,11909981
2020-12-01,73.400002,74.410004,72.669998,74.410004,73.372108,7952547
2020-12-02,74.300003,75.019997,74.040001,74.800003,73.756660,9908928
2020-12-03,74.760002,74.760002,73.610001,74.279999,73.243919,9480752
2020-12-04,74.180000,74.820000,73.800003,74.250000,73.214333,9256659
2020-12-07,74.250000,74.309998,73.239998,73.639999,72.612839,6478800
2020-12-08,73.500000,73.980003,73.070000,73.500000,72.474800,6836548
2020-12-09,74.000000,74.820000,73.800003,74.160004,73.125595,7872241
2020-12-10,74.139999,74.459999,73.120003,73.730003,72.701591,9464259
2020-12-11,73.669998,73.879997,72.900002,72.900002,71.883163,8323530
2020-12-14,73.440002,74.349998,73.129997,73.169998,72.149391,9116977
2020-12-15,73.160004,73.900002,72.239998,72.760002,71.745125,13071329
2020-12-16,72.139999,72.349998,70.430000,70.809998,69.822311,21668202
2020-12-17,70.809998,71.300003,69.220001,69.629997,68.658783,14671336
2020-12-18,69.300003,69.709999,68.580002,68.580002,67.623428,14907934
2020-12-21,68.099998,68.239998,66.029999,66.050003,65.128716,15204826
2020-12-22,66.199997,66.769997,65.760002,66.379997,65.454109,9720127
2020-12-23,66.400002,67.370003,66.129997,67.269997,66.331696,6075174
2020-12-28,67.529999,67.949997,67.040001,67.750000,66.805000,5657691
2020-12-29,67.949997,68.000000,67.279999,67.620003,66.676811,6458223
2020-12-30,67.550003,67.849998,66.849998,67.220001,66.282402,7514523
2021-01-04,67.500000,67.849998,66.559998,67.000000,66.065460,9828774
2021-01-05,66.699997,67.199997,66.480003,66.650002,65.720345,4486532
2021-01-07,68.260002,69.629997,67.800003,69.629997,68.658783,17211636
2021-01-08,69.760002,69.849998,68.269997,68.489998,67.534676,11954422
2021-01-11,68.699997,69.550003,68.110001,68.529999,67.574120,8399854
2021-01-12,69.000000,70.690002,68.809998,70.620003,69.634972,12714129
2021-01-13,70.620003,70.699997,69.650002,70.500000,69.516647,7330930
2021-01-14,70.779999,71.400002,70.470001,71.279999,70.285759,9231301
2021-01-15,71.129997,71.730003,70.410004,70.760002,69.773018,8012387
